,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ribeira Grande,75,PT,1579942658,93,38.52,-28.7,60.8,19.46
1,Mar del Plata,100,AR,1579942456,93,-38.0,-57.56,64.0,3.36
2,Cidreira,0,BR,1579942723,85,-30.18,-50.21,68.74,7.61
3,Busselton,95,AU,1579942649,23,-33.65,115.33,89.01,21.79
4,Geraldton,0,AU,1579942725,45,-28.77,114.6,82.4,24.16
5,George Town,20,MY,1579942665,66,5.41,100.34,89.6,12.75
6,Cape Town,75,ZA,1579942478,77,-33.93,18.42,73.99,9.17
7,Point Fortin,20,TT,1579942729,94,10.18,-61.68,77.0,16.46
8,Pangnirtung,100,CA,1579942317,99,66.15,-65.71,-36.94,1.23
9,Butaritari,97,KI,1579942649,70,3.07,172.79,85.5,8.43
10,Guerrero Negro,86,MX,1579942308,87,27.98,-114.06,59.2,5.46
11,Hermanus,0,ZA,1579942654,88,-34.42,19.23,70.0,3.0
12,Avarua,100,CK,1579942662,88,-21.21,-159.78,80.6,8.05
13,Palu,100,ID,1579942737,83,-0.89,119.87,76.55,3.85
14,Vaini,40,TO,1579942655,88,-21.2,-175.2,78.8,12.75
15,Thompson,75,CA,1579942358,92,55.74,-97.86,8.6,3.36
16,Bethel,40,US,1579942175,90,41.37,-73.41,39.99,8.05
17,Manokwari,80,ID,1579942742,88,-0.87,134.08,75.29,3.22
18,Tougan,0,BF,1579942504,8,13.07,-3.07,81.48,19.39
19,Kavieng,3,PG,1579942237,72,-2.57,150.8,84.65,11.43
20,Snezhnogorsk,75,RU,1579942745,84,69.19,33.25,3.2,2.01
21,Barrow,1,US,1579942661,82,71.29,-156.79,-23.8,9.17
22,Plyussa,100,RU,1579942748,68,58.43,29.37,34.3,13.76
23,Upernavik,100,GL,1579942300,93,72.79,-56.15,-12.01,3.6
24,Port Alfred,0,ZA,1579942665,83,-33.59,26.89,71.01,4.0
25,Hong Kong,40,HK,1579942677,73,22.29,114.16,73.0,12.75
26,Rikitea,0,PF,1579942651,77,-23.12,-134.97,78.49,14.23
27,Tiksi,0,RU,1579942674,74,71.69,128.87,-30.55,4.38
28,Qaanaaq,100,GL,1579942755,51,77.48,-69.36,-7.83,2.89
29,Bluff,68,NZ,1579942757,76,-46.6,168.33,61.0,1.99
30,Tasiilaq,100,GL,1579942657,41,65.61,-37.64,24.8,20.8
31,Methven,16,NZ,1579942466,78,-43.63,171.65,64.0,1.05
32,Puerto del Rosario,20,ES,1579942760,82,28.5,-13.86,59.0,6.93
33,Cherskiy,98,RU,1579942671,91,68.75,161.3,-30.57,0.87
34,Acari,100,PE,1579942763,87,-15.43,-74.62,67.24,2.44
35,Deputatsky,33,RU,1579942764,99,69.3,139.9,-39.41,1.12
36,Nikolskoye,75,RU,1579942687,69,59.7,30.79,33.8,20.13
37,Bintulu,75,MY,1579942766,74,3.17,113.03,87.8,8.05
38,Ancud,90,CL,1579942316,100,-41.87,-73.82,57.2,8.05
39,Taltal,8,CL,1579942769,88,-25.4,-70.48,67.08,1.19
40,Lata,40,PT,1579942770,93,40.16,-8.33,46.4,1.12
41,Bilma,4,NE,1579942771,13,18.69,12.92,68.0,16.42
42,Kalmunai,100,LK,1579942389,74,7.42,81.82,80.76,16.02
43,Biak,60,ID,1579942774,73,-0.91,122.88,85.08,6.69
44,Paragominas,100,BR,1579942443,99,-2.97,-47.48,72.55,2.37
45,Jamestown,90,US,1579942593,86,42.1,-79.24,43.0,8.05
46,Cayenne,75,GF,1579942778,94,4.93,-52.33,75.2,4.7
47,Kapaa,75,US,1579942373,78,22.08,-159.32,73.4,14.99
48,Hino,75,JP,1579942780,57,35.67,139.4,50.0,11.41
49,Nome,1,US,1579942524,68,64.5,-165.41,-20.2,4.7
